company_url;company_name;company_short_description;company_habs_name;company_raiting;company_blog_posts;company_news;company_vacancies;company_subscribers;company_employees;company_foundation_date;company_location;company_city;company_country;company_site_name;company_site_url;company_size;company_registration_date;company_represenative_nickname;company_represenative_profile_url
https://habr.com/ru/company/bringo/;Bringo Group Ltd;Компания;;19.57;3;;;45;3;11 декабря 2014 г.;Великобритания;;Великобритания;bringogroup.com;https://www.bringogroup.com;31–50 человек;27.09.2017;;
https://habr.com/ru/company/datana/;Datana;Компания;Data Mining, Big Data, Машинное обучение, Карьера в IT-индустрии, IT-компании;19.31;4;;;25;5;21 марта 2019 г.;Москва, Россия;Москва;Россия;datana.ru;http://datana.ru;31–50 человек;18.05.2020;;
https://habr.com/ru/company/linka/;LINKa;Компания;Open source, .NET, Разработка под Windows, Компьютерное железо;19.21;8;;;25;1;;Санкт-Петербург, Россия;Санкт-Петербург;Россия;linka.su;http://linka.su;2–10 человек;05.09.2016;Иван Бакаидов;https://habr.com/ru/users/ibakaidov/
https://habr.com/ru/company/cti/;CTI — Communications. Technology. Innovations;Системный интегратор CTI;Системное администрирование, Клиентская оптимизация, IT-инфраструктура, Виртуализация, CRM-системы;19.07;8;;;36;4;23 августа 2002 г.;Москва, Россия;Москва;Россия;cti.ru;https://www.cti.ru/;201–500 человек;13.02.2017;;
https://habr.com/ru/company/smart_start/;Smart Start;Изучение языка в формате виртуального путешествия!;Разработка игр, GTD, Развитие стартапа, Управление продажами, Бизнес-модели;18.83;5;;;22;3;;;;;smartstart.today;https://smartstart.today;Неизвестно;30.08.2019;Денис;https://habr.com/ru/users/dennis777/
https://habr.com/ru/company/sbermarket/;СберМаркет;Кодим будущее доставки товаров;Высокая производительность, IT-инфраструктура, Серверная оптимизация, Big Data, Разработка под e-commerce;18.36;2;;;20;3;1 января 2013 г.;Москва, Россия;Москва;Россия;sbermarket.ru;http://sbermarket.ru;201–500 человек;26.05.2020;;
https://habr.com/ru/company/itbrand/;IT-бренд работодателя;Исследование IT-брендов от Хабра, ЭКОПСИ и ОНТИКО;Учебный процесс в IT, Управление персоналом, Карьера в IT-индустрии, Научно-популярное, Удалённая работа;16.64;3;;;14;4;1 июля 2020 г.;Москва, Россия;Москва;Россия;habr.com;http://habr.com;Неизвестно;20.07.2020;Любовь;https://habr.com/ru/users/Soboleva/
https://habr.com/ru/company/token2/;Token2.com;Компания;Информационная безопасность;16.62;10;;;25;2;3 февраля 2014 г.;Versoix, Швейцария;Versoix;Швейцария;token2.com;https://token2.com/;2–10 человек;09.07.2014;;
https://habr.com/ru/company/apple/;Apple;Компания;;16.33;;;;4501;3;1 апреля 1976 г.;Cupertino, США;Cupertino;США;apple.com;http://www.apple.com/;1 001–5 000 человек;09.08.2008;;
https://habr.com/ru/company/atosservers/;Atos;Atos – технологический лидер серверного рынка;IT-инфраструктура, Серверная оптимизация, Серверное администрирование, Облачные сервисы;15.42;5;;;18;3;;Bezons, Франция;Bezons;Франция;atos.net;https://atos.net/ru/russia/products;свыше 10 000 человек;07.09.2018;;
